"cne","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6"
"73","Electrique","3","13","19","15","15","9","10"
"74","Civil","1","12","18","11","19","12","17"
"75","Finance","1","9","9","10","9","16","16"
"76","Finance","2","11","10","11","14","14","19"
"77","Info","3","18","18","13","14","19","9"
"78","Info","1","14","9","19","13","18","14"
"79","Finance","1","9","9","16","10","10","12"
"80","Finance","1","9","14","13","12","18","15"
"81","Info","1","20","12","9","14","15","18"
"82","Finance","2","16","9","18","10","20","11"
"83","Info","1","11","11","18","10","20","14"
"84","Civil","2","16","19","17","20","14","14"
"85","Info","3","17","16","10","9","17","20"
"86","Civil","1","13","20","18","10","10","19"
"87","Electrique","1","19","12","11","13","18","16"
"88","Info","1","9","9","14","9","11","15"
"89","Civil","2","17","10","15","16","16","13"
"90","Finance","3","11","10","9","20","19","19"
"91","Indus","2","16","10","19","19","14","15"
"92","Electrique","3","9","12","10","20","20","15"
"93","Civil","2","10","14","14","20","19","11"
"94","Electrique","1","15","13","14","14","16","17"
"95","Civil","2","10","13","16","11","12","17"
"96","Info","1","20","10","20","19","14","18"
"97","Electrique","3","17","13","11","17","9","13"
"98","Info","2","19","11","20","18","15","17"
"99","Indus","3","12","11","19","17","14","17"
"100","Indus","3","18","18","17","17","19","17"
"101","Indus","2","17","12","18","16","17","14"
"102","Finance","2","17","20","16","9","9","20"
"103","Finance","3","11","10","18","17","20","11"
"104","Civil","1","19","15","16","12","17","19"
"105","Info","2","10","14","15","10","11","14"
"106","Electrique","2","13","13","9","19","11","18"
"107","Finance","2","9","17","15","13","9","15"
"108","Info","3","13","14","15","9","15","12"
"109","Finance","1","12","11","18","12","20","19"
"110","Indus","3","12","9","19","16","12","20"
"111","Civil","3","17","16","14","9","14","9"
"112","Finance","1","15","19","9","17","15","17"
"113","Civil","3","10","20","15","15","14","14"
"114","Indus","3","13","10","13","17","18","15"
"115","Indus","3","18","19","17","16","20","10"
"116","Info","2","9","15","10","19","13","16"
"117","Finance","3","12","11","12","14","13","9"
"118","Info","2","18","19","19","12","9","14"
"119","Civil","2","14","13","19","12","20","13"
"120","Electrique","1","18","9","19","13","13","9"
"121","Indus","2","16","11","9","12","17","15"
"122","Electrique","1","15","14","16","15","16","15"
"123","Indus","2","13","17","17","17","18","9"
"124","Info","3","20","14","13","20","17","16"
"125","Electrique","3","19","18","20","19","14","14"
"126","Finance","1","13","9","16","11","14","17"
"127","Civil","1","20","17","10","20","14","15"
"128","Civil","3","18","20","15","16","19","9"
"129","Electrique","2","20","14","13","10","10","18"
"130","Electrique","3","12","12","9","12","17","13"
"131","Civil","2","13","13","11","9","12","13"
"132","Info","1","14","18","16","9","11","19"
"133","Civil","2","13","12","10","9","11","16"
"134","Info","2","20","20","11","9","18","15"
"135","Indus","1","20","13","11","13","10","12"
"136","Info","2","9","15","13","13","18","10"
"137","Electrique","2","19","18","17","16","14","18"
"138","Indus","1","9","16","9","20","14","15"
"139","Info","2","14","15","17","9","20","16"
"140","Civil","2","14","12","13","20","17","12"
"141","Indus","3","15","12","11","20","14","20"
"142","Finance","3","20","16","16","18","16","10"
"143","Info","1","13","17","11","19","19","14"
"144","Civil","1","10","11","15","11","20","16"
"145","Electrique","1","11","20","15","13","12","18"
"146","Civil","2","20","10","12","20","14","13"
"147","Electrique","2","12","16","18","10","14","14"
"148","Info","2","15","19","9","16","19","13"
"149","Electrique","2","20","15","14","15","20","12"
"150","Electrique","1","12","18","19","12","17","12"
"151","Indus","3","12","10","19","10","11","18"
"152","Civil","1","11","17","13","17","20","16"
"153","Electrique","2","9","9","20","10","12","10"
"154","Finance","3","12","14","13","11","17","18"
"155","Civil","3","17","16","10","13","19","18"
"156","Finance","3","12","12","13","14","13","9"
"157","Indus","3","20","17","10","11","19","20"
"158","Electrique","2","15","12","11","16","11","17"
"159","Info","3","15","19","16","12","9","17"
"160","Info","1","18","20","15","12","10","17"
"161","Info","1","15","9","18","11","14","19"
"162","Info","3","12","9","17","17","13","10"
"163","Electrique","3","9","11","10","14","17","9"
"164","Civil","2","11","12","17","18","16","15"
"165","Electrique","2","9","16","18","19","17","16"
"166","Indus","3","13","14","10","11","10","9"
"167","Civil","2","11","17","12","12","15","14"
"168","Finance","1","12","19","11","18","11","16"
"169","Info","1","12","15","11","12","19","12"
"170","Info","3","13","17","9","18","20","13"
"171","Indus","3","11","13","18","19","12","11"
"172","Finance","1","9","17","20","19","11","15"
"173","Electrique","3","11","10","13","19","10","16"
"174","Info","1","10","17","11","14","12","11"
"175","Indus","1","11","13","17","19","16","20"
"176","Electrique","2","14","19","11","9","11","13"
"177","Electrique","3","17","11","12","18","11","18"
"178","Info","1","11","18","18","12","13","14"
"179","Indus","1","17","15","14","20","13","13"
"180","Indus","1","14","10","14","15","10","10"
"181","Indus","3","15","12","11","18","11","16"
"182","Indus","2","12","15","12","10","14","18"
"183","Finance","3","14","16","16","14","13","20"
"184","Finance","3","15","9","15","10","18","13"
"185","Finance","2","13","16","10","13","9","12"
"186","Electrique","3","9","10","9","18","17","10"
"187","Civil","1","19","18","11","15","11","19"
"188","Indus","3","16","9","20","14","11","11"
"189","Finance","2","20","17","18","13","10","10"
"190","Info","2","19","15","12","20","12","14"
"191","Electrique","3","13","13","13","19","19","12"
"192","Info","1","13","20","13","14","13","10"
"193","Civil","2","10","16","15","20","20","9"
"194","Finance","2","14","17","19","11","15","13"
"195","Civil","1","16","19","19","9","18","18"
"196","Indus","1","13","17","18","16","13","20"
"197","Indus","2","9","9","15","19","11","13"
"198","Indus","2","13","19","15","14","12","10"
"199","Finance","2","17","10","15","17","18","12"
"200","Info","1","18","19","18","17","16","9"
"201","Electrique","2","10","12","16","17","11","15"
"202","Civil","2","10","16","16","17","9","19"
"203","Info","3","9","20","17","14","14","9"
"204","Electrique","2","18","20","12","17","11","17"
"205","Finance","3","10","19","10","9","18","11"
"206","Electrique","3","12","18","11","19","14","14"
"207","Info","1","15","15","20","13","15","20"
"208","Civil","2","17","10","19","13","13","12"
"209","Civil","2","16","18","15","17","17","11"
"210","Finance","1","20","15","10","19","14","12"
"211","Finance","3","20","13","15","11","14","19"
"212","Finance","1","9","16","9","12","12","14"
"213","Finance","2","16","18","13","17","13","12"
"214","Electrique","1","17","20","20","10","9","18"
"215","Finance","3","10","18","10","10","17","9"
"216","Finance","2","12","16","10","10","11","17"
"217","Civil","1","14","12","9","17","16","17"
"218","Electrique","3","15","14","15","19","15","14"
"219","Electrique","2","20","14","17","16","19","13"
"220","Civil","1","11","17","20","10","18","17"
"221","Civil","1","18","13","17","12","19","18"
"222","Info","2","15","18","18","13","15","17"
"223","Electrique","3","20","19","18","14","11","19"
"224","Finance","3","16","19","10","14","19","19"
"225","Electrique","3","18","13","11","14","14","13"
"226","Info","3","17","18","14","18","16","18"
"227","Electrique","2","9","13","17","15","17","16"
"228","Electrique","3","12","10","10","10","10","19"
"229","Indus","2","20","14","18","18","16","17"
"230","Indus","1","10","20","13","12","14","12"
"231","Indus","2","14","14","9","12","9","20"
"232","Info","3","11","13","15","18","19","17"
"233","Finance","3","10","17","20","20","17","20"
"234","Info","1","10","16","20","15","18","10"
"235","Info","2","19","12","19","12","15","17"
"236","Indus","1","19","17","19","15","9","16"
"237","Indus","3","16","12","18","20","10","16"
"238","Electrique","1","18","11","9","17","13","12"
"239","Finance","2","16","14","11","18","18","19"
"240","Electrique","2","13","12","20","20","12","11"
"241","Info","3","17","11","14","15","13","10"
"242","Electrique","3","14","18","12","13","14","17"
"243","Finance","3","14","9","9","19","11","16"
"244","Electrique","1","18","15","14","9","11","12"
"245","Indus","1","9","15","9","14","15","15"
"246","Electrique","3","13","10","11","17","15","19"
"247","Civil","1","12","20","14","9","20","20"
"248","Indus","1","11","14","12","19","12","18"
"249","Finance","2","10","19","12","12","15","20"
"250","Civil","2","17","16","11","17","18","12"
"251","Indus","2","20","17","15","13","9","18"
"252","Indus","2","10","12","17","13","17","13"
"253","Electrique","1","9","14","14","19","9","13"
"254","Info","2","20","12","15","13","19","16"
"255","Finance","2","18","13","16","9","17","19"
"256","Finance","1","18","19","11","12","14","17"
"257","Finance","1","20","19","19","18","17","16"
"258","Civil","2","11","12","14","16","19","17"
"259","Civil","2","13","9","20","11","16","19"
"260","Finance","1","17","13","14","11","16","10"
"261","Civil","2","12","19","14","15","11","17"
"262","Civil","2","10","9","17","15","13","19"
"263","Finance","3","13","9","16","12","18","12"
"264","Civil","3","19","12","17","9","16","11"
"265","Finance","3","17","11","20","15","10","18"
"266","Indus","2","19","15","17","18","14","20"
"267","Indus","2","13","9","15","15","14","12"
"268","Finance","1","19","15","10","15","15","13"
"269","Finance","2","18","9","17","15","11","12"
"270","Indus","1","16","9","12","12","10","19"
"271","Civil","1","16","15","10","13","9","11"
"272","Electrique","1","14","16","10","14","18","15"
"273","Electrique","3","17","14","12","9","18","15"
"274","Electrique","1","16","18","18","16","19","10"
"275","Civil","1","13","10","14","13","14","19"
"276","Indus","1","16","9","14","18","16","14"
"277","Electrique","3","10","13","9","20","11","9"
"278","Civil","3","18","19","9","13","15","15"
"279","Electrique","3","9","17","18","10","18","9"
"280","Indus","1","15","18","9","11","14","15"
"281","Electrique","3","11","12","20","12","14","15"
"282","Electrique","2","12","16","18","12","14","14"
"283","Finance","1","11","20","17","16","15","10"
"284","Civil","2","16","12","12","16","19","18"
"285","Finance","1","17","16","17","11","13","11"
"286","Electrique","2","10","11","14","12","12","14"
"287","Civil","1","11","14","20","11","11","19"
"288","Civil","2","14","9","20","17","11","15"
"289","Info","2","11","14","13","20","9","16"
"290","Finance","1","13","19","12","18","20","20"
"291","Civil","2","12","17","16","11","11","13"
"292","Finance","3","10","11","11","15","15","10"
"293","Civil","2","16","13","11","12","12","9"
"294","Indus","3","14","19","18","11","10","16"
"295","Civil","2","13","17","20","9","18","10"
"296","Electrique","2","12","12","15","10","14","9"
"297","Info","3","18","12","10","11","20","13"
"298","Finance","3","10","13","16","16","10","13"
"299","Civil","2","14","16","9","15","9","10"
"300","Indus","1","16","13","18","14","15","12"
"301","Civil","1","13","10","12","10","20","12"
"302","Info","2","18","13","19","18","13","18"
"303","Civil","1","17","13","9","14","19","17"
"304","Info","3","16","15","18","14","12","14"
"305","Electrique","2","12","11","19","16","15","14"
"306","Civil","3","17","10","16","16","18","16"
"307","Indus","2","13","17","9","20","13","9"
"308","Info","2","10","10","12","9","13","15"
"309","Civil","3","9","14","19","9","20","14"
"310","Indus","2","17","19","16","12","16","20"
"311","Electrique","3","10","19","12","11","9","18"
"312","Civil","3","17","17","9","19","15","18"
"313","Electrique","3","12","17","19","17","14","12"
"314","Indus","1","12","15","19","14","10","14"
"315","Finance","1","10","14","12","17","12","18"
"316","Electrique","2","10","12","16","11","9","19"
"317","Civil","1","19","19","17","10","10","13"
"318","Electrique","3","11","12","20","20","20","15"
"319","Indus","3","12","10","11","20","16","19"
"320","Info","3","11","17","17","20","18","12"
"321","Indus","2","18","11","19","10","10","11"
"322","Finance","3","11","15","10","18","15","10"
"323","Finance","1","19","15","20","11","12","12"
"324","Civil","2","17","10","18","20","17","12"
"325","Finance","2","9","13","18","9","14","12"
"326","Electrique","2","20","10","9","13","10","14"
"327","Finance","1","10","13","15","16","12","15"
"328","Finance","3","18","15","14","16","19","13"
"329","Info","1","11","18","13","19","9","11"
"330","Civil","1","13","14","18","11","19","15"
"331","Info","1","18","14","14","10","17","15"
"332","Civil","2","15","14","16","16","14","9"
"333","Civil","3","18","12","11","14","15","15"
"334","Info","3","20","14","15","18","19","17"
"335","Electrique","1","14","13","19","11","16","9"
"336","Info","3","9","15","11","18","18","14"
"337","Civil","3","17","13","18","11","12","18"
"338","Civil","2","15","9","12","10","15","10"
"339","Electrique","1","9","17","15","11","14","11"
"340","Electrique","1","11","10","10","15","12","17"
"341","Info","3","17","18","10","11","13","12"
"342","Civil","2","13","12","12","12","15","10"
"343","Civil","2","20","17","16","16","12","15"
"344","Info","3","19","12","15","19","19","16"
"345","Finance","2","19","17","12","12","13","17"
"346","Electrique","3","20","19","19","20","11","20"
"347","Finance","3","9","12","14","12","13","12"
"348","Electrique","3","16","18","13","17","16","13"
"349","Finance","3","19","20","17","15","16","17"
"350","Info","1","13","18","18","13","17","10"
"351","Info","1","13","12","19","9","17","16"
"352","Indus","1","15","9","9","13","15","18"
"353","Info","1","19","16","13","17","10","19"
"354","Finance","1","11","20","10","16","20","15"
"355","Finance","3","11","13","15","11","17","15"
"356","Info","3","20","10","17","9","16","17"
"357","Indus","1","16","11","10","11","10","20"
"358","Electrique","3","9","11","10","14","11","18"
"359","Electrique","2","16","17","15","17","18","13"
"360","Indus","2","11","11","14","20","9","16"
"361","Info","1","11","10","19","16","12","16"
"362","Civil","1","20","19","14","14","17","12"
"363","Info","3","15","18","12","13","20","14"
"364","Civil","2","12","15","10","13","14","14"
"365","Indus","2","12","16","20","10","11","20"
"366","Civil","3","16","15","16","14","16","20"
"367","Electrique","1","12","12","13","11","20","12"
"368","Finance","1","14","10","16","19","13","9"
"369","Civil","3","17","15","10","12","19","9"
"370","Indus","3","12","18","19","10","17","19"
"371","Civil","3","15","14","18","13","12","12"
"372","Finance","2","19","17","19","10","20","18"
"373","Finance","2","14","10","10","15","18","16"
"374","Info","3","18","20","11","20","19","11"
"375","Info","2","18","20","12","17","20","15"
"376","Electrique","1","14","18","17","12","20","19"
"377","Info","1","15","9","10","15","13","20"
"378","Electrique","1","13","18","11","19","17","18"
"379","Info","2","19","13","14","14","10","19"
"380","Indus","3","18","19","12","18","19","9"
"381","Indus","2","11","9","9","19","17","18"
"382","Electrique","3","16","14","11","15","11","11"
"383","Electrique","2","19","14","19","10","17","14"
"384","Info","3","20","18","20","9","13","19"
"385","Indus","1","15","15","11","16","18","15"
"386","Info","3","14","20","20","19","14","19"
"387","Civil","1","16","9","20","20","12","13"
"388","Electrique","1","17","9","15","20","12","20"
"389","Info","2","11","13","14","14","15","16"
"390","Finance","2","11","15","15","14","20","19"
"391","Civil","1","17","14","15","17","10","11"
"392","Electrique","1","20","20","10","15","18","10"
"393","Indus","3","14","16","16","12","16","19"
"394","Finance","3","9","9","12","18","20","13"
"395","Indus","1","9","20","10","11","12","13"
"396","Info","1","18","18","17","13","20","18"
"397","Civil","2","13","19","11","14","11","9"
"398","Civil","3","20","10","20","12","9","19"
"399","Electrique","1","9","10","14","13","14","19"
"400","Finance","3","20","10","9","19","18","9"
"401","Civil","2","14","18","11","9","9","14"
"402","Civil","1","19","9","12","9","15","11"
"403","Indus","2","9","11","16","19","19","16"
"404","Indus","3","19","20","12","17","12","11"
"405","Indus","1","14","16","12","11","11","16"
"406","Info","1","19","15","19","20","16","17"
"407","Electrique","2","18","14","18","16","16","13"
"408","Indus","3","13","9","11","14","17","15"
"409","Info","3","12","15","13","15","16","16"
"410","Info","3","10","9","10","18","11","14"
"411","Civil","2","19","10","14","18","16","15"
"412","Civil","3","12","13","13","9","16","11"
"413","Electrique","2","10","18","16","13","20","13"
"414","Electrique","2","15","10","10","17","14","11"
"415","Info","1","12","10","10","19","14","13"
"416","Civil","2","12","19","14","12","10","15"
"417","Electrique","1","10","14","16","9","13","15"
"418","Civil","2","10","9","11","13","11","13"
"419","Indus","1","15","9","11","13","9","12"
"420","Indus","1","16","13","17","11","18","9"
"421","Indus","1","19","19","17","15","19","12"
"422","Info","2","10","14","16","12","9","10"
"423","Finance","2","11","16","9","15","19","17"
"424","Finance","2","11","10","15","10","12","13"
"425","Indus","2","18","20","16","11","16","17"
"426","Finance","3","16","15","20","14","10","11"
"427","Civil","1","20","17","17","15","14","9"
"428","Civil","1","18","9","20","17","16","15"
"429","Info","1","14","20","12","18","16","12"
"430","Info","3","18","10","12","17","9","13"
"431","Civil","1","18","10","10","11","15","17"
"432","Info","3","20","9","15","19","18","12"
"433","Indus","1","16","20","20","17","19","9"
"434","Finance","2","14","17","18","18","15","12"
"435","Info","2","20","18","17","13","12","16"
"436","Electrique","2","10","16","15","11","10","10"
"437","Info","1","17","11","19","19","11","18"
"438","Civil","1","19","9","10","17","16","19"
"439","Civil","2","10","10","16","20","19","9"
"440","Indus","3","18","9","18","15","15","9"
"441","Electrique","2","13","16","18","18","17","12"
"442","Civil","3","20","14","11","11","17","20"
"443","Civil","2","17","13","19","17","14","16"
"444","Indus","2","19","20","14","10","15","10"
"445","Indus","1","10","16","20","10","15","9"
"446","Electrique","3","15","20","17","14","20","12"
"447","Electrique","2","17","20","9","19","18","9"
"448","Indus","3","12","15","12","9","14","14"
"449","Finance","3","11","9","13","20","20","13"
"450","Info","2","17","18","17","12","9","14"
"451","Electrique","2","20","18","17","11","10","16"
"452","Info","1","13","14","16","20","12","18"
"453","Info","3","18","15","20","16","20","13"
"454","Civil","3","12","16","10","15","19","18"
"455","Electrique","1","9","9","12","10","11","18"
"456","Info","1","17","11","13","10","11","10"
"457","Electrique","1","15","18","17","16","15","16"
"458","Indus","2","18","11","20","20","11","9"
"459","Electrique","3","12","18","9","19","15","11"
"460","Info","3","19","15","12","10","10","10"
"461","Electrique","3","18","12","20","11","17","18"
"462","Info","1","10","9","9","9","10","14"
"463","Finance","1","20","20","9","12","17","17"
"464","Electrique","3","17","17","15","9","17","18"
"465","Electrique","2","19","10","19","17","17","19"
"466","Finance","3","13","20","17","19","18","16"
"467","Finance","3","16","20","9","10","15","15"
"468","Civil","1","16","9","11","11","12","11"
"469","Info","1","14","20","17","16","20","15"
"470","Electrique","1","15","12","20","13","13","16"
"471","Finance","3","19","19","17","17","13","13"
"472","Indus","1","11","11","13","9","10","13"
"473","Info","1","15","19","13","20","12","15"
"474","Civil","3","20","11","15","18","12","13"
"475","Indus","1","14","14","20","19","14","16"
"476","Finance","2","13","11","19","19","11","11"
"477","Electrique","2","17","14","13","10","12","13"
"478","Info","2","20","20","15","12","19","12"
"479","Info","2","17","11","13","16","12","20"
"480","Electrique","1","12","13","9","10","17","19"
"481","Info","2","19","12","12","14","16","15"
"482","Info","3","9","16","11","14","19","18"
"483","Info","2","14","17","20","20","17","11"
"484","Electrique","3","10","15","10","11","16","17"
"485","Civil","3","17","19","19","16","16","20"
"486","Info","1","14","18","18","20","16","14"
"487","Electrique","3","17","9","9","16","19","9"
"488","Indus","1","9","16","20","12","20","9"
"489","Finance","2","18","14","13","12","9","14"
"490","Electrique","1","18","15","9","10","18","14"
"491","Indus","3","13","15","14","17","14","20"
"492","Finance","3","11","19","18","14","14","17"
"493","Civil","1","11","15","11","11","9","20"
"494","Finance","1","17","11","12","11","13","12"
"495","Electrique","1","11","12","13","19","12","14"
"496","Civil","2","20","11","10","11","15","14"
"497","Electrique","1","12","14","19","16","18","11"
"498","Info","1","11","10","11","19","14","19"
"499","Finance","1","18","11","14","12","18","17"
"500","Finance","3","15","12","11","16","14","18"
"501","Electrique","1","17","12","14","11","18","16"
"502","Finance","2","19","14","11","17","19","12"
"503","Indus","1","14","17","19","20","13","12"
"504","Info","2","16","12","11","20","20","15"
"505","Civil","2","9","9","10","11","20","13"
"506","Finance","3","12","17","9","13","16","11"
"507","Electrique","3","18","13","13","19","18","18"
"508","Finance","2","18","17","14","9","18","13"
"509","Electrique","3","19","17","10","14","10","12"
"510","Civil","1","9","20","20","14","13","19"
"511","Info","3","17","17","12","12","15","16"
"512","Finance","2","11","10","16","14","15","17"
"513","Info","3","18","14","12","13","19","12"
"514","Indus","1","12","10","17","19","13","12"
"515","Electrique","1","20","10","17","18","9","15"
"516","Indus","2","12","14","16","10","19","11"
"517","Civil","3","14","18","20","17","20","17"
"518","Indus","1","12","10","12","14","10","16"
"519","Indus","3","17","17","19","20","9","14"
"520","Civil","2","10","15","16","15","20","12"
"521","Finance","2","18","18","11","15","10","13"
"522","Electrique","3","19","15","17","11","19","12"
"523","Finance","3","12","19","13","9","11","9"
"524","Electrique","2","19","20","17","19","17","13"
"525","Electrique","1","15","16","13","11","17","9"
"526","Indus","1","19","16","14","18","9","9"
"527","Indus","1","11","11","10","18","18","20"
"528","Electrique","2","17","14","20","20","9","16"
"529","Electrique","2","14","9","12","12","12","19"
"530","Info","1","16","14","18","19","13","9"
"531","Indus","2","20","19","19","17","17","14"
"532","Electrique","3","17","15","17","19","14","20"
"533","Civil","3","16","17","14","20","19","20"
"534","Info","2","14","19","11","17","9","18"
"535","Indus","3","11","19","18","12","17","15"
"536","Info","1","18","10","20","19","20","18"
"537","Civil","1","14","20","16","14","19","9"
"538","Indus","3","15","12","9","19","17","11"
"539","Finance","2","11","17","16","12","13","12"
"540","Electrique","3","17","13","11","10","12","17"
"541","Electrique","1","16","11","10","18","14","20"
"542","Electrique","2","20","16","16","13","12","12"
"543","Indus","3","19","14","12","17","9","15"
"544","Civil","2","11","14","20","11","19","12"
"545","Civil","3","17","16","10","15","11","17"
"546","Civil","1","13","17","10","10","13","19"
"547","Civil","1","13","14","15","17","17","20"
"548","Indus","3","11","14","16","18","17","17"
"549","Electrique","2","14","12","13","9","16","13"
"550","Electrique","1","12","20","14","11","13","18"
"551","Civil","1","17","18","14","10","10","17"
"552","Electrique","2","14","20","14","16","11","15"
"553","Info","1","11","10","15","19","14","18"
"554","Electrique","2","17","16","9","12","14","12"
"555","Finance","2","13","16","11","20","11","13"
"556","Finance","2","20","14","15","13","20","16"
"557","Info","3","20","15","18","9","18","14"
"558","Civil","3","20","17","14","19","20","20"
"559","Finance","2","17","13","11","19","19","9"
"560","Finance","2","18","19","14","17","14","17"
"561","Civil","2","11","20","16","15","10","20"
"562","Electrique","3","10","10","14","16","18","15"
"563","Electrique","2","18","11","15","16","12","14"
"564","Finance","3","10","13","10","20","14","14"
"565","Indus","2","18","14","10","12","15","19"
"566","Indus","3","10","15","15","12","18","20"
"567","Electrique","1","14","16","16","10","19","14"
"568","Civil","1","9","19","16","20","17","12"
"569","Indus","3","12","14","20","15","15","13"
"570","Electrique","3","10","15","10","19","10","12"
"571","Civil","3","15","18","11","11","11","11"
"572","Finance","3","10","14","15","19","10","14"
"573","Finance","1","13","17","13","16","16","14"
"574","Electrique","3","16","19","14","19","17","9"
"575","Info","2","18","17","11","18","12","15"
"576","Finance","1","14","19","14","11","12","9"
"577","Indus","3","11","16","14","16","15","18"
"578","Finance","1","9","11","11","16","11","19"
"579","Finance","3","17","9","12","16","16","12"
"580","Indus","3","10","12","16","13","9","17"
"581","Civil","3","13","18","18","16","15","16"
"582","Civil","2","20","16","20","11","17","12"
"583","Civil","1","15","11","11","16","20","10"
"584","Finance","1","10","17","20","16","20","19"
"585","Indus","2","19","10","13","12","20","11"
"586","Indus","3","12","20","17","19","20","14"
"587","Electrique","2","14","13","15","20","11","17"
"588","Info","1","12","16","17","14","12","14"
"589","Civil","1","20","13","12","14","12","14"
"590","Indus","1","10","18","10","16","11","9"
"591","Electrique","2","19","10","15","18","11","16"
"592","Finance","3","18","16","20","14","12","12"
"593","Info","2","12","13","16","11","12","11"
"594","Indus","3","10","9","12","16","10","9"
"595","Finance","1","14","11","9","15","16","10"
"596","Electrique","3","10","18","12","20","9","19"
"597","Civil","2","11","17","17","9","14","17"
"598","Info","2","10","10","9","14","15","11"
"599","Civil","3","20","16","20","11","19","9"
"600","Finance","1","14","16","12","16","12","10"
"601","Electrique","3","10","17","18","13","14","13"
"602","Info","2","10","15","13","12","17","14"
"603","Civil","1","17","13","17","14","10","14"
"604","Info","2","16","17","10","14","15","11"
"605","Info","1","10","20","17","12","14","9"
"606","Civil","3","11","16","20","15","16","13"
"607","Indus","2","18","17","12","10","11","19"
"608","Finance","1","19","15","15","11","20","17"
"609","Indus","1","9","18","14","15","20","18"
"610","Indus","2","19","15","13","13","12","15"
"611","Indus","2","14","17","12","17","17","12"
"612","Info","2","9","16","11","13","11","17"
"613","Electrique","1","15","9","15","15","19","15"
"614","Indus","2","11","12","17","10","10","9"
"615","Indus","2","16","12","14","11","17","9"
"616","Civil","1","15","11","16","9","20","10"
"617","Finance","3","20","14","13","11","14","9"
"618","Indus","2","16","13","18","19","9","15"
"619","Indus","1","10","17","18","18","9","13"
"620","Civil","3","18","16","18","10","15","12"
"621","Electrique","3","14","11","14","14","14","15"
"622","Civil","3","11","11","10","13","10","18"
"623","Finance","3","11","14","10","9","15","14"
"624","Electrique","2","11","14","15","20","11","11"
"625","Finance","3","17","15","16","19","14","14"
"626","Info","1","15","14","15","19","9","9"
"627","Civil","2","12","9","15","19","15","12"
"628","Finance","1","9","10","20","18","20","13"
"629","Info","3","12","18","16","12","15","9"
"630","Civil","1","16","13","16","13","10","11"
"631","Indus","3","12","15","17","13","18","13"
