"cne","filiere","niveau","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche"
"225","Electrique","3","2","2","2"
"226","Info","3","2","1","0"
"227","Electrique","2","3","2","2"
"228","Electrique","3","2","2","0"
"229","Indus","2","3","2","2"
"230","Indus","1","2","1","2"
"231","Indus","2","1","3","0"
"232","Info","3","4","1","2"
"233","Finance","3","0","3","0"
"234","Info","1","2","2","1"
"235","Info","2","2","0","0"
"236","Indus","1","5","1","1"
"237","Indus","3","4","2","2"
"238","Electrique","1","3","0","2"
"239","Finance","2","3","1","1"
"240","Electrique","2","1","3","0"
"241","Info","3","1","2","0"
"242","Electrique","3","5","2","2"
"243","Finance","3","3","1","0"
"244","Electrique","1","0","3","0"
"245","Indus","1","0","0","1"
"246","Electrique","3","0","1","0"
"247","Civil","1","4","1","2"
"248","Indus","1","3","3","1"
"249","Finance","2","2","1","2"
"250","Civil","2","2","3","1"
"251","Indus","2","0","0","2"
"252","Indus","2","5","1","2"
"253","Electrique","1","0","3","1"
"254","Info","2","3","1","2"
"255","Finance","2","0","2","0"
"256","Finance","1","3","2","1"
"257","Finance","1","0","2","2"
"258","Civil","2","2","3","1"
"259","Civil","2","5","1","1"
"260","Finance","1","3","0","0"
"261","Civil","2","5","1","0"
"262","Civil","2","0","1","2"
"263","Finance","3","1","0","2"
"264","Civil","3","5","2","2"
"265","Finance","3","5","3","1"
"266","Indus","2","2","2","1"
"267","Indus","2","1","0","0"
"268","Finance","1","2","1","0"
"269","Finance","2","4","2","2"
"270","Indus","1","5","3","2"
"271","Civil","1","3","0","2"
"272","Electrique","1","3","0","2"
"273","Electrique","3","1","3","1"
"274","Electrique","1","2","3","1"
"275","Civil","1","5","0","2"
"276","Indus","1","4","0","2"
"277","Electrique","3","1","2","2"
"278","Civil","3","0","3","0"
"279","Electrique","3","4","2","2"
"280","Indus","1","2","0","2"
"281","Electrique","3","5","2","1"
"282","Electrique","2","3","1","0"
"283","Finance","1","0","1","0"
"284","Civil","2","5","3","0"
"285","Finance","1","4","0","1"
"286","Electrique","2","5","2","2"
"287","Civil","1","0","0","1"
"288","Civil","2","3","3","0"
"289","Info","2","5","2","0"
"290","Finance","1","5","1","2"
"291","Civil","2","3","2","2"
"292","Finance","3","4","0","0"
"293","Civil","2","2","2","0"
"294","Indus","3","5","1","0"
"295","Civil","2","5","3","0"
"296","Electrique","2","4","3","2"
"297","Info","3","4","3","0"
"298","Finance","3","2","1","0"
"299","Civil","2","0","1","0"
"300","Indus","1","3","3","0"
"301","Civil","1","5","1","2"
"302","Info","2","1","1","0"
"303","Civil","1","3","1","1"
"304","Info","3","0","3","0"
"305","Electrique","2","1","1","0"
"306","Civil","3","0","0","1"
"307","Indus","2","2","1","2"
"308","Info","2","3","3","2"
"309","Civil","3","2","0","0"
"310","Indus","2","2","3","1"
"311","Electrique","3","3","3","2"
"312","Civil","3","3","1","2"
"313","Electrique","3","4","2","1"
"314","Indus","1","0","3","1"
"315","Finance","1","1","1","0"
"316","Electrique","2","0","1","1"
"317","Civil","1","5","3","2"
"318","Electrique","3","4","3","2"
"319","Indus","3","4","2","2"
"320","Info","3","4","2","2"
"321","Indus","2","3","2","1"
"322","Finance","3","5","1","0"
"323","Finance","1","2","2","2"
"324","Civil","2","4","3","2"
"325","Finance","2","0","2","2"
"326","Electrique","2","4","1","2"
"327","Finance","1","2","1","1"
"328","Finance","3","2","3","1"
"329","Info","1","2","2","0"
"330","Civil","1","5","2","1"
"331","Info","1","1","0","0"
"332","Civil","2","0","3","2"
"333","Civil","3","3","2","0"
"334","Info","3","0","2","2"
"335","Electrique","1","4","0","2"
"336","Info","3","5","2","2"
"337","Civil","3","2","0","0"
"338","Civil","2","0","0","0"
"339","Electrique","1","0","3","1"
"340","Electrique","1","4","3","0"
"341","Info","3","1","2","2"
"342","Civil","2","3","1","1"
"343","Civil","2","5","2","0"
"344","Info","3","1","0","0"
"345","Finance","2","3","3","1"
"346","Electrique","3","2","1","1"
"347","Finance","3","5","2","0"
"348","Electrique","3","5","1","1"
"349","Finance","3","1","3","1"
"350","Info","1","0","0","0"
"351","Info","1","3","3","2"
"352","Indus","1","4","1","0"
"353","Info","1","4","3","1"
"354","Finance","1","5","1","0"
"355","Finance","3","4","3","2"
"356","Info","3","2","1","2"
"357","Indus","1","2","3","0"
"358","Electrique","3","1","1","0"
"359","Electrique","2","1","0","1"
"360","Indus","2","3","2","0"
"361","Info","1","1","0","1"
"362","Civil","1","1","3","0"
"363","Info","3","4","2","1"
"364","Civil","2","5","2","0"
"365","Indus","2","5","1","1"
"366","Civil","3","1","2","2"
"367","Electrique","1","5","3","2"
"368","Finance","1","5","1","0"
"369","Civil","3","2","1","2"
"370","Indus","3","1","2","0"
"371","Civil","3","3","1","0"
"372","Finance","2","3","3","0"
"373","Finance","2","4","3","1"
"374","Info","3","1","0","0"
"375","Info","2","5","2","1"
"376","Electrique","1","5","1","0"
"377","Info","1","5","3","2"
"378","Electrique","1","1","1","2"
"379","Info","2","2","1","0"
"380","Indus","3","0","2","2"
"381","Indus","2","5","3","0"
"382","Electrique","3","1","2","1"
"383","Electrique","2","4","3","1"
"384","Info","3","2","0","1"
"385","Indus","1","5","0","2"
"386","Info","3","1","0","1"
"387","Civil","1","5","0","2"
"388","Electrique","1","5","0","0"
"389","Info","2","0","1","0"
"390","Finance","2","5","0","2"
"391","Civil","1","3","0","1"
"392","Electrique","1","3","0","1"
"393","Indus","3","5","1","0"
"394","Finance","3","3","3","0"
"395","Indus","1","5","1","1"
"396","Info","1","2","3","2"
"397","Civil","2","1","0","2"
"398","Civil","3","0","0","2"
"399","Electrique","1","4","3","0"
"400","Finance","3","5","0","0"
"401","Civil","2","4","3","1"
"402","Civil","1","0","2","1"
"403","Indus","2","5","3","1"
"404","Indus","3","2","1","0"
"405","Indus","1","4","0","1"
"406","Info","1","0","2","0"
"407","Electrique","2","0","2","1"
"408","Indus","3","5","1","1"
"409","Info","3","1","0","2"
"410","Info","3","1","3","1"
"411","Civil","2","5","3","0"
"412","Civil","3","4","2","1"
"413","Electrique","2","1","3","1"
"414","Electrique","2","4","0","1"
"415","Info","1","2","2","0"
"416","Civil","2","2","1","2"
"417","Electrique","1","2","1","2"
"418","Civil","2","0","3","1"
"419","Indus","1","0","0","1"
"420","Indus","1","2","0","1"
"421","Indus","1","1","0","2"
"422","Info","2","3","3","1"
"423","Finance","2","5","3","0"
"424","Finance","2","2","1","2"
"425","Indus","2","3","0","1"
"426","Finance","3","5","0","2"
"427","Civil","1","4","0","2"
"428","Civil","1","1","2","0"
"429","Info","1","2","1","2"
"430","Info","3","2","2","1"
"431","Civil","1","3","0","2"
"432","Info","3","1","2","1"
"433","Indus","1","5","3","2"
"434","Finance","2","5","2","1"
"435","Info","2","1","2","0"
"436","Electrique","2","5","0","0"
"437","Info","1","2","2","1"
"438","Civil","1","2","1","1"
"439","Civil","2","0","3","0"
"440","Indus","3","1","3","1"
"441","Electrique","2","5","2","0"
"442","Civil","3","0","2","0"
"443","Civil","2","3","2","0"
"444","Indus","2","3","2","1"
"445","Indus","1","0","0","2"
"446","Electrique","3","0","3","0"
"447","Electrique","2","4","2","0"
"448","Indus","3","0","2","2"
"449","Finance","3","3","0","0"
"450","Info","2","0","1","1"
"451","Electrique","2","4","3","2"
"452","Info","1","0","3","2"
"453","Info","3","2","1","1"
"454","Civil","3","3","1","1"
"455","Electrique","1","1","1","0"
"456","Info","1","0","0","2"
"457","Electrique","1","2","3","2"
"458","Indus","2","1","2","2"
"459","Electrique","3","4","1","1"
"460","Info","3","3","3","0"
"461","Electrique","3","0","1","0"
"462","Info","1","0","1","0"
"463","Finance","1","5","3","1"
"464","Electrique","3","5","1","1"
"465","Electrique","2","0","3","2"
"466","Finance","3","5","1","2"
"467","Finance","3","1","2","1"
"468","Civil","1","1","1","0"
"469","Info","1","2","0","1"
"470","Electrique","1","3","0","0"
"471","Finance","3","2","0","2"
"472","Indus","1","0","2","2"
"473","Info","1","4","2","2"
"474","Civil","3","5","3","1"
"475","Indus","1","4","2","0"
"476","Finance","2","5","3","1"
"477","Electrique","2","4","3","0"
"478","Info","2","0","2","0"
"479","Info","2","4","0","0"
"480","Electrique","1","0","1","0"
"481","Info","2","2","0","2"
"482","Info","3","4","0","2"
"483","Info","2","0","3","0"
"484","Electrique","3","2","3","0"
"485","Civil","3","5","1","1"
"486","Info","1","2","2","0"
"487","Electrique","3","0","0","2"
"488","Indus","1","0","2","2"
"489","Finance","2","2","1","1"
"490","Electrique","1","0","3","2"
"491","Indus","3","0","1","0"
"492","Finance","3","2","2","0"
"493","Civil","1","3","0","0"
"494","Finance","1","1","3","1"
"495","Electrique","1","4","3","2"
"496","Civil","2","0","3","1"
"497","Electrique","1","0","0","0"
"498","Info","1","0","2","1"
"499","Finance","1","1","0","1"
"500","Finance","3","0","3","2"
"501","Electrique","1","1","0","2"
"502","Finance","2","5","2","1"
"503","Indus","1","5","3","0"
"504","Info","2","5","1","0"
"505","Civil","2","5","1","2"
"506","Finance","3","2","2","0"
"507","Electrique","3","0","0","2"
"508","Finance","2","2","3","2"
"509","Electrique","3","1","2","2"
"510","Civil","1","0","2","1"
"511","Info","3","3","2","2"
"512","Finance","2","4","2","0"
"513","Info","3","2","3","0"
"514","Indus","1","4","2","2"
"515","Electrique","1","3","0","1"
"516","Indus","2","3","1","1"
"517","Civil","3","3","1","2"
"518","Indus","1","4","3","0"
"519","Indus","3","4","0","1"
"520","Civil","2","4","2","2"
"521","Finance","2","0","1","0"
"522","Electrique","3","2","2","1"
"523","Finance","3","2","0","1"
"524","Electrique","2","4","1","1"
"525","Electrique","1","5","1","0"
"526","Indus","1","3","0","1"
"527","Indus","1","2","3","0"
"528","Electrique","2","0","2","2"
"529","Electrique","2","5","0","1"
"530","Info","1","5","1","2"
"531","Indus","2","5","1","1"
"532","Electrique","3","3","2","1"
"533","Civil","3","2","0","1"
"534","Info","2","1","0","2"
"535","Indus","3","2","0","2"
"536","Info","1","0","3","2"
"537","Civil","1","4","3","0"
"538","Indus","3","2","3","1"
"539","Finance","2","2","2","2"
"540","Electrique","3","1","1","1"
"541","Electrique","1","2","2","0"
"542","Electrique","2","5","2","0"
"543","Indus","3","2","0","2"
"544","Civil","2","4","3","0"
"545","Civil","3","3","0","2"
"546","Civil","1","1","0","2"
"547","Civil","1","2","0","2"
"548","Indus","3","4","1","0"
"549","Electrique","2","4","1","0"
"550","Electrique","1","1","2","0"
"551","Civil","1","4","2","0"
"552","Electrique","2","3","2","2"
"553","Info","1","0","3","0"
"554","Electrique","2","0","0","0"
"555","Finance","2","3","1","1"
"556","Finance","2","1","0","1"
"557","Info","3","2","3","0"
"558","Civil","3","3","0","2"
"559","Finance","2","5","1","2"
"560","Finance","2","4","2","0"
"561","Civil","2","5","3","0"
"562","Electrique","3","5","1","1"
"563","Electrique","2","4","3","1"
"564","Finance","3","0","3","1"
"565","Indus","2","0","1","1"
"566","Indus","3","0","3","0"
"567","Electrique","1","3","0","1"
"568","Civil","1","0","0","2"
"569","Indus","3","0","3","0"
"570","Electrique","3","3","3","2"
"571","Civil","3","0","0","1"
"572","Finance","3","1","1","1"
"573","Finance","1","0","3","1"
"574","Electrique","3","5","0","1"
"575","Info","2","4","1","2"
"576","Finance","1","4","2","2"
"577","Indus","3","0","2","1"
"578","Finance","1","2","2","1"
"579","Finance","3","2","3","1"
"580","Indus","3","4","0","2"
"581","Civil","3","5","2","2"
"582","Civil","2","5","3","0"
"583","Civil","1","2","1","2"
"584","Finance","1","3","0","2"
"585","Indus","2","1","1","0"
"586","Indus","3","5","3","0"
"587","Electrique","2","3","1","0"
"588","Info","1","4","2","1"
"589","Civil","1","4","0","0"
"590","Indus","1","1","0","0"
"591","Electrique","2","0","0","2"
"592","Finance","3","1","2","1"
"593","Info","2","2","3","1"
"594","Indus","3","5","2","1"
"595","Finance","1","3","3","0"
"596","Electrique","3","3","3","0"
"597","Civil","2","0","3","2"
"598","Info","2","3","0","2"
"599","Civil","3","3","3","0"
"600","Finance","1","3","0","0"
"601","Electrique","3","3","2","0"
"602","Info","2","5","2","1"
"603","Civil","1","5","3","2"
"604","Info","2","0","2","2"
"605","Info","1","5","1","0"
"606","Civil","3","2","3","2"
"607","Indus","2","4","0","0"
"608","Finance","1","2","0","1"
"609","Indus","1","3","3","0"
"610","Indus","2","0","1","1"
"611","Indus","2","3","0","1"
"612","Info","2","0","3","0"
"613","Electrique","1","4","0","1"
"614","Indus","2","3","0","0"
"615","Indus","2","1","0","1"
"616","Civil","1","0","0","1"
"617","Finance","3","2","0","1"
"618","Indus","2","1","0","1"
"619","Indus","1","0","0","0"
"620","Civil","3","3","1","1"
"621","Electrique","3","0","0","0"
"622","Civil","3","2","3","2"
"623","Finance","3","2","3","0"
"624","Electrique","2","5","0","0"
"625","Finance","3","4","1","0"
"626","Info","1","0","0","0"
"627","Civil","2","1","2","0"
"628","Finance","1","3","1","0"
"629","Info","3","4","0","1"
"630","Civil","1","1","2","1"
"631","Indus","3","3","3","1"
"632","Civil","3","0","3","2"
"633","Indus","3","5","3","1"
"634","Finance","3","3","2","0"
"635","Civil","2","1","3","0"
"636","Electrique","3","4","3","0"
"637","Indus","3","1","3","1"
"638","Finance","3","0","0","1"
"639","Indus","1","4","1","0"
"640","Civil","1","4","0","0"
"641","Finance","2","4","2","2"
"642","Indus","3","4","0","2"
"643","Info","2","0","1","1"
"644","Indus","3","5","3","2"
"645","Finance","1","3","1","2"
"646","Electrique","2","5","2","1"
"647","Indus","1","0","3","1"
"648","Electrique","1","4","0","2"
"649","Indus","2","0","0","1"
"650","Electrique","3","5","3","0"
"651","Finance","2","5","0","1"
"652","Electrique","2","2","1","2"
"653","Electrique","3","4","0","1"
"654","Finance","1","4","3","2"
"655","Finance","1","3","0","2"
"656","Indus","1","3","1","1"
"657","Finance","1","3","3","1"
"658","Info","2","5","0","2"
"659","Info","1","3","1","0"
"660","Electrique","3","2","3","2"
"661","Indus","1","0","2","1"
"662","Finance","3","0","2","0"
"663","Electrique","1","5","2","2"
"664","Finance","2","1","2","2"
"665","Civil","1","4","3","0"
"666","Civil","2","0","0","0"
"667","Finance","2","4","1","2"
"668","Indus","3","2","3","0"
"669","Electrique","3","5","3","2"
"670","Info","1","4","2","0"
"671","Civil","1","2","3","0"
"672","Electrique","1","5","3","0"
"673","Info","2","5","2","1"
"674","Info","1","5","0","1"
"675","Finance","3","1","1","1"
"676","Indus","3","3","1","2"
"677","Electrique","1","1","1","0"
"678","Finance","1","5","3","0"
"679","Finance","1","1","0","1"
"680","Civil","2","2","0","0"
"681","Finance","2","1","1","1"
"682","Info","3","4","1","1"
"683","Indus","1","2","1","0"
"684","Indus","2","5","3","2"
"685","Indus","3","4","2","0"
"686","Indus","1","0","1","0"
"687","Electrique","1","2","1","0"
"688","Info","1","5","1","0"
"689","Indus","3","5","0","2"
"690","Indus","3","1","0","1"
"691","Civil","2","3","1","2"
"692","Finance","1","5","3","2"
"693","Civil","2","4","3","1"
"694","Info","2","1","1","0"
"695","Finance","1","1","0","0"
"696","Info","2","1","0","1"
"697","Finance","2","3","0","1"
"698","Finance","1","1","1","0"
"699","Indus","3","3","3","1"
"700","Electrique","3","1","2","1"
"701","Indus","1","0","1","0"
"702","Electrique","3","2","3","2"
"703","Indus","2","4","3","2"
"704","Finance","3","3","3","0"
"705","Indus","1","2","0","1"
"706","Civil","1","1","3","2"
"707","Indus","3","0","0","2"
"708","Finance","1","3","1","2"
"709","Info","1","5","2","1"
"710","Finance","1","0","0","0"
"711","Finance","3","1","1","0"
"712","Civil","3","0","2","2"
"713","Indus","2","1","1","0"
"714","Info","1","1","1","2"
"715","Civil","2","0","2","2"
"716","Indus","3","5","2","2"
"717","Finance","3","1","3","2"
"718","Electrique","1","2","2","1"
"719","Info","2","5","2","2"
"720","Electrique","2","4","3","1"
"721","Finance","3","1","0","1"
"722","Civil","3","3","1","1"
"723","Indus","3","5","2","0"
"724","Finance","1","5","3","2"
"725","Indus","1","2","0","1"
"726","Indus","2","4","1","2"
"727","Civil","1","0","0","2"
"728","Electrique","2","1","0","0"
"729","Civil","1","4","3","0"
"730","Info","1","0","0","1"
"731","Info","3","1","0","2"
"732","Finance","2","1","3","2"
"733","Civil","2","2","1","1"
"734","Finance","1","2","3","0"
"735","Electrique","3","1","2","1"
"736","Info","3","2","1","2"
"737","Indus","2","2","0","1"
"738","Indus","2","4","3","1"
"739","Finance","1","0","3","2"
"740","Civil","2","1","0","0"
"741","Civil","3","1","3","0"
"742","Indus","2","1","3","1"
"743","Indus","3","3","3","0"
"744","Finance","3","5","2","0"
"745","Electrique","3","3","3","0"
"746","Finance","2","4","0","0"
"747","Civil","1","1","1","1"
"748","Finance","3","1","1","2"
"749","Indus","2","0","2","1"
"750","Info","3","3","2","2"
"751","Civil","1","0","0","0"
"752","Civil","3","0","2","2"
"753","Civil","2","1","1","1"
"754","Electrique","1","1","1","2"
"755","Finance","1","2","0","0"
"756","Info","2","1","1","1"
"757","Info","1","4","3","1"
"758","Info","3","4","1","0"
"759","Electrique","1","4","1","1"
"760","Civil","3","3","1","0"
"761","Civil","1","1","2","2"
"762","Indus","2","1","0","2"
"763","Finance","1","3","0","2"
"764","Civil","3","3","0","2"
"765","Electrique","2","1","0","0"
"766","Civil","3","2","3","1"
"767","Finance","3","5","3","1"
"768","Indus","3","5","0","0"
"769","Info","3","3","1","2"
"770","Indus","3","0","2","1"
"771","Indus","2","4","0","0"
"772","Indus","2","5","0","2"
"773","Finance","1","0","0","0"
"774","Indus","1","4","0","0"
"775","Electrique","3","0","2","2"
"776","Info","2","2","3","2"
"777","Finance","2","1","3","2"
"778","Civil","3","2","3","2"
"779","Indus","2","5","1","1"
"780","Info","2","1","1","0"
"781","Electrique","3","4","1","0"
"782","Civil","1","2","3","0"
"783","Finance","2","3","3","0"
"784","Civil","3","5","0","2"
"785","Info","3","4","1","0"
"786","Info","3","5","0","0"
"787","Info","1","0","3","2"
"788","Finance","1","0","2","1"
"789","Electrique","1","5","3","0"
"790","Info","3","1","2","1"
"791","Info","3","1","3","2"
"792","Finance","3","0","1","1"
"793","Info","2","0","0","2"
"794","Indus","1","0","0","2"
"795","Indus","2","3","1","2"
"796","Civil","2","0","3","1"
"797","Civil","3","2","2","1"
"798","Electrique","2","1","0","1"
"799","Indus","3","1","0","1"
"800","Finance","1","2","0","1"
"801","Indus","3","0","0","2"
"802","Civil","3","2","1","2"
"803","Info","3","2","1","1"
"804","Electrique","2","3","0","2"
"805","Finance","3","3","1","2"
"806","Electrique","2","5","2","0"
"807","Info","2","5","1","0"
"808","Info","1","2","0","0"
"809","Civil","1","5","0","0"
"810","Indus","3","1","1","1"
"811","Info","3","5","2","0"
"812","Info","2","2","3","0"
"813","Info","2","3","3","1"
"814","Civil","2","4","0","2"
"815","Civil","1","2","1","2"
"816","Electrique","1","0","3","1"
"817","Indus","1","0","2","1"
"818","Finance","3","1","3","1"
"819","Indus","3","3","0","0"
"820","Indus","1","5","2","0"
"821","Info","1","0","2","2"
"822","Info","3","5","3","2"
"823","Info","3","4","0","0"
"824","Civil","2","0","2","1"
"825","Info","1","1","1","0"
"826","Indus","3","1","2","0"
"827","Finance","2","3","0","0"
"828","Info","2","0","3","1"
"829","Civil","3","5","2","2"
"830","Electrique","1","3","0","2"
"831","Info","2","4","1","2"
"832","Civil","1","0","2","0"
"833","Indus","2","2","2","2"
"834","Civil","3","5","2","1"
"835","Finance","1","3","3","1"
"836","Civil","2","2","0","2"
"837","Electrique","1","4","1","1"
"838","Info","3","5","1","2"
"839","Civil","2","3","1","2"
"840","Indus","2","0","3","2"
"841","Electrique","3","4","0","2"
"842","Electrique","3","5","3","1"
"843","Indus","3","5","1","1"
"844","Info","1","4","2","2"
"845","Info","2","4","1","0"
"846","Civil","3","0","3","0"
"847","Finance","2","4","2","1"
"848","Info","3","3","2","2"
"849","Finance","1","2","3","1"
"850","Info","3","4","1","0"
"851","Finance","3","3","1","1"
"852","Info","3","5","1","2"
"853","Finance","2","0","1","0"
"854","Civil","3","4","3","2"
"855","Finance","1","2","2","1"
"856","Finance","2","3","2","1"
"857","Electrique","2","1","1","2"
"858","Civil","1","0","3","0"
"859","Electrique","3","1","0","0"
"860","Civil","2","3","2","1"
"861","Info","2","0","0","0"
"862","Finance","3","5","3","1"
"863","Electrique","1","1","1","2"
"864","Indus","1","5","3","1"
"865","Civil","1","3","1","1"
"866","Civil","2","4","0","1"
"867","Finance","3","1","3","2"
"868","Electrique","3","1","2","0"
