"cne","filiere","niveau","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"386","Info","3","17","Tanger","16","Casablanca","10","Tetouan"
"387","Civil","1","15","Tetouan","18","Rabat","16","Marrakech"
"388","Electrique","1","16","Rabat","15","Rabat","20","Nador"
"389","Info","2","10","Agadir","12","Casablanca","20","Rabat"
"390","Finance","2","19","Rabat","16","Nador","14","Rabat"
"391","Civil","1","14","Agadir","12","Casablanca","16","Marrakech"
"392","Electrique","1","11","Agadir","16","Casablanca","16","Rabat"
"393","Indus","3","18","Rabat","14","Tetouan","15","Tanger"
"394","Finance","3","14","Fes","19","Agadir","16","Casablanca"
"395","Indus","1","10","Casablanca","18","Agadir","14","Oujda"
"396","Info","1","16","Marrakech","16","Rabat","20","Oujda"
"397","Civil","2","18","Fes","11","Rabat","10","Agadir"
"398","Civil","3","13","Fes","10","Fes","19","Tanger"
"399","Electrique","1","16","Tanger","15","Agadir","14","Marrakech"
"400","Finance","3","19","Casablanca","12","Fes","14","Tanger"
"401","Civil","2","17","Tetouan","11","Nador","16","Marrakech"
"402","Civil","1","19","Tetouan","17","Casablanca","19","Fes"
"403","Indus","2","12","Tanger","9","Tanger","11","Agadir"
"404","Indus","3","18","Marrakech","17","Nador","18","Fes"
"405","Indus","1","11","Casablanca","14","Rabat","19","Nador"
"406","Info","1","13","Marrakech","10","Nador","13","Marrakech"
"407","Electrique","2","20","Casablanca","12","Rabat","17","Oujda"
"408","Indus","3","12","Fes","13","Oujda","9","Tetouan"
"409","Info","3","9","Nador","18","Rabat","19","Marrakech"
"410","Info","3","20","Oujda","10","Agadir","19","Rabat"
"411","Civil","2","14","Oujda","16","Tanger","19","Oujda"
"412","Civil","3","15","Tetouan","13","Rabat","10","Marrakech"
"413","Electrique","2","19","Oujda","15","Agadir","10","Tanger"
"414","Electrique","2","12","Marrakech","16","Nador","20","Tanger"
"415","Info","1","14","Fes","18","Marrakech","15","Fes"
"416","Civil","2","17","Tetouan","19","Rabat","9","Rabat"
"417","Electrique","1","19","Rabat","10","Oujda","17","Tetouan"
"418","Civil","2","10","Tanger","20","Rabat","11","Tetouan"
"419","Indus","1","15","Tetouan","14","Tanger","19","Nador"
"420","Indus","1","19","Agadir","9","Casablanca","12","Nador"
"421","Indus","1","9","Nador","10","Rabat","13","Tetouan"
"422","Info","2","10","Tanger","10","Nador","16","Tanger"
"423","Finance","2","17","Marrakech","14","Nador","16","Fes"
"424","Finance","2","18","Casablanca","14","Rabat","11","Nador"
"425","Indus","2","20","Nador","9","Casablanca","19","Agadir"
"426","Finance","3","13","Rabat","19","Nador","16","Tanger"
"427","Civil","1","17","Tanger","17","Agadir","19","Tetouan"
"428","Civil","1","18","Nador","17","Oujda","13","Nador"
"429","Info","1","10","Tanger","15","Fes","20","Oujda"
"430","Info","3","11","Tanger","16","Tanger","11","Tetouan"
"431","Civil","1","10","Oujda","18","Casablanca","19","Oujda"
"432","Info","3","10","Marrakech","13","Tanger","9","Nador"
"433","Indus","1","9","Casablanca","20","Rabat","19","Agadir"
"434","Finance","2","9","Oujda","18","Marrakech","18","Fes"
"435","Info","2","15","Casablanca","19","Tanger","15","Tanger"
"436","Electrique","2","18","Tanger","15","Tanger","20","Oujda"
"437","Info","1","9","Rabat","19","Agadir","10","Nador"
"438","Civil","1","19","Fes","17","Tanger","20","Nador"
"439","Civil","2","18","Tetouan","12","Nador","17","Fes"
"440","Indus","3","19","Fes","18","Agadir","11","Nador"
"441","Electrique","2","16","Marrakech","17","Fes","14","Marrakech"
"442","Civil","3","14","Marrakech","15","Tetouan","10","Rabat"
